0,0,MAY 26,HOUSE OF TOFU SOUP BURNABY BC,12.08
1,4,MAY 27,A & W # 0540 PORT COQUITLABC,11.33
2,8,MAY 27,REAL CDN. SUPERSTORE # N.VANCOUVER BC,4.38
3,12,MAY 29,SAVE ON FOODS #2221 BURNABY BC,9.98
4,15,MAY 29,ESSO 736 6TH AVENUE NEW WESTMINSTBC,91.54
5,19,MAY 30,JIMOCO CAFE COQUITLAM BC,24.09
6,23,MAY 31,CINEPLEX ENTERTAINMENT 416-323-6600 ON,6.63
7,27,JUN 01,SUBWAY 43349 BURNABY BC,5.45
8,30,JUN 01,BOBA CABANA NEW WESTMINSTBC,12.98
9,34,JUN 01,PETROCAN-132 - 12TH STREENEW WESTMNSTRBC,1.69
10,38,JUN 02,SAVE ON FOODS #2228 BURNABY BC,2.50
11,42,JUN 03,SUSHI CALIFORNIA COQUITLAM BC,24.31
12,45,JUN 03,FUSION WOK NEW WESTMINSTBC,9.98
13,48,JUN 04,WAL-MART SUPERCENTER#1181TSAWWASSEN BC,67.58
14,50,JUN 04,GYOKIN NAN-NIN IZAKAYA RICHMOND BC,47.63
15,52,JUN 04,SPOTIFY P02913E241 STOCKHOLM,4.99
