0,0,NOV 28,TIM HORTONS - FOREST VANCOUVER BC,5.61
1,4,NOV 28,MCDONALD'S #21433 NEW WESTMINSTBC,1.25
2,8,NOV 29,STARBUCKS 04526 VANCOUVER BC,0.20
3,12,NOV 29,STARBUCKS 04526 VANCOUVER BC,5.20
4,15,NOV 29,TIM HORTONS - FOREST VANCOUVER BC,4.61
5,19,NOV 29,CHEVRON 1720 NANAIMO ST VANCOUVER BC,50.09
6,23,DEC 02,DENNY'S 03-087 VANCOUV VANCOUVER BC,10.73
7,27,DEC 04,7 ELEVEN STORE #14850 COQUITLAM BC,5.80
8,30,DEC 04,PIZZA HUT BURNABY BC,12.86
9,34,DEC 06,RUNNING CHICKEN VANCOUVER BC,10.00
10,38,DEC 06,UPPER CASE VANCOUVER BC,4.95
11,42,DEC 07,CHEVRON 3 EAST EIGHTH AV NEW WESTMINSTBC,50.00
12,45,DEC 07,BAMBOO GARDEN CHINESE RESBURNABY BC,9.44
13,48,DEC 08,G&J FOOD LTD. RICHMOND BC,9.30
14,50,DEC 09,NESTERS MARKET #80063 BURNABY BC,12.81
15,52,DEC 09,CHEVRON 3 EAST EIGHTH AV NEW WESTMINSTBC,10.03
0,0,JAN 26,STARBUCKS 00137 N WESTMINSTERBC,2.00
1,4,JAN 26,PIZZA HUT #31105 NEW WESTMINSTBC,10.50
2,8,JAN 26,SHELL 4191 NORTH RD BURNABY BC,40.75
3,12,JAN 27,CHARTWELLSSFUMACKQPS BURNABY BC,5.24
4,15,JAN 27,BAY SUSHI CAFE LTD VANCOUVER BC,11.81
5,19,JAN 27,BELL MOBILITY VERDUN QC,160.83
6,23,JAN 28,PLAYSTATION SONYENTERT 800-345-7669 ON,49.98
7,27,JAN 28,WAL-MART SUPERCENTER#3057VANCOUVER BC,7.58
8,30,JAN 28,WAL-MART SUPERCENTER#3057VANCOUVER BC,2.98
9,34,JAN 28,PINE SUSHI SQUARE NORTH VANCOUVBC,9.95
10,38,JAN 28,SIMON FRASER UNIVERSITY BURNABY BC,5.00
11,42,JAN 28,PAYMENT - THANK YOU / PAIEMENT - MERCI,-1002.11
12,45,JAN 29,CHARTWELLSSFURAVEQPS BURNABY BC,5.24
13,48,JAN 29,PINE SUSHI SQUARE NORTH VANCOUVBC,9.95
14,50,JAN 29,MICROSOFT *XBOXLIVE MISSISSAUGA ON,11.19
15,52,JAN 30,MCDONALD'S #21433 NEW WESTMINSTBC,1.88
0,0,JAN 31,WAL-MART SUPERCENTER#3057VANCOUVER BC,5.47
1,2,JAN 31,WAL-MART SUPERCENTER#3057VANCOUVER BC,17.78
2,4,JAN 31,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.62
3,6,JAN 31,PINE SUSHI SQUARE NORTH VANCOUVBC,9.95
4,8,JAN 31,A&W CAPILANO MALL NORTH VANCOUVBC,2.63
5,10,FEB 01,MCDONALD'S #21433 NEW WESTMINSTBC,1.88
6,12,FEB 01,SIMON FRASER UNIVERSITY BURNABY BC,5.00
7,14,FEB 02,PLAYSTATION SONYENTERT 800-345-7669 ON,14.99
8,16,FEB 02,GUADALUPE RESTAURANTS BURNABY BC,9.19
9,18,FEB 02,CHARTWELLSSFURAVEQPS BURNABY BC,2.30
10,20,FEB 02,MCDONALD'S #21433 NEW WESTMINSTBC,1.88
11,22,FEB 02,SIMON FRASER UNIVERSITY BURNABY BC,5.00
12,24,FEB 03,SAFEWAY #4917 NEW WESTMINSTBC,5.81
13,26,FEB 03,RENAISSANCE CAFE BURNABY BC,2.30
14,28,FEB 03,CHEVRON 3 EAST EIGHTH AV NEW WESTMINSTBC,10.40
15,30,FEB 04,SUSHI CALIFORNIA COQUITLAM BC,20.95
16,32,FEB 04,SIMON FRASER UNIVERSITY BURNABY BC,5.00
17,34,FEB 04,SIMON FRASER UNIVERSITY BURNABY BC,5.00
18,36,FEB 05,KOYA JAPAN BURNABY BC,8.18
0,0,FEB 25,STARBUCKS SFU 67355 BURNABY BC,2.00
1,4,FEB 25,G&J FOOD BURNABY BC,8.40
2,8,FEB 26,FATBURGER LOUGHEED BURNABY BC,10.49
3,12,FEB 27,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,3.00
4,15,FEB 27,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.10
5,19,FEB 27,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,4.29
6,23,FEB 28,MICROSOFT *XBOXLIVE MISSISSAUGA ON,11.19
7,27,FEB 28,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.10
8,30,FEB 28,PINE SUSHI SQUARE NORTH VANCOUVBC,8.96
9,34,FEB 29,L A SUSHI BURNABY BC,13.86
10,38,MAR 01,PLAYSTATION SONYENTERT 800-345-7669 ON,39.99
11,42,MAR 02,G&J FOOD BURNABY BC,8.40
12,45,MAR 02,STARBUCKS SFU 67355 BURNABY BC,2.00
13,48,MAR 02,QUESADA BURRITOS AND TACOBURNABY BC,7.02
14,50,MAR 03,BOOSTERJUICE 117 LANGLEY BC,4.25
