0,5,DEC 26 DEC 30,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,174.75
1,9,DEC 27 DEC 30,WAL-MART SUPERCENTER#3057VANCOUVER BC,111.91
2,13,DEC 28 DEC 31,WAL-MART SUPERCENTER#3057VANCOUVER BC,2.87
3,17,DEC 29 DEC 30,CYPRESS MOUNTAIN WEST VANCOUVEBC,67.20
4,20,DEC 29 JAN 04,WAL-MART SUPERCENTER#3008BURNABY BC,27.83
5,24,DEC 30 DEC 30,CYPRESS MOUNTAIN WEST VANCOUVEBC,29.80
6,28,DEC 30 JAN 04,WAL-MART SUPERCENTER#3008BURNABY BC,7.84
7,32,DEC 30 DEC 31,IKEA COQUITLAM COQUITLAM BC,99.67
8,35,DEC 31 JAN 04,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.08
9,39,DEC 31 DEC 31,PINE SUSHI SQUARE NORTH VANCOUVBC,3.84
10,43,JAN 01 JAN 04,PAYMENT - THANK YOU / PAIEMENT - MERCI,-1381.05
11,47,JAN 01 JAN 04,ANNUAL FEE,39.00
12,49,JAN 02 JAN 05,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.00
13,51,JAN 02 JAN 04,PINE SUSHI SQUARE NORTH VANCOUVBC,4.90
14,53,JAN 03 JAN 04,Q SANGAK BAKERY NORTH VANCOUVBC,7.34
15,55,JAN 04 JAN 05,CANADA DAVID AND JACK NEW WESTMINSTBC,47.45
16,57,JAN 04 JAN 04,ANNUAL FEE REBATE,-39.00
0,0,AUG 26,ESSO 736 6TH AVENUE NEW WESTMINSTBC,40.00
1,4,AUG 26,MCDONALD'S #40094 NEW WESTMINSTBC,5.27
2,8,AUG 26,MCDONALD'S #40094 NEW WESTMINSTBC,1.05
3,12,AUG 27,FAMOUS PLAYER 1412QPS COQUITLAM BC,6.13
4,15,AUG 27,FAMOUS PLAYER 1412QPS COQUITLAM BC,5.85
5,19,AUG 27,ANYTIME FITNESS NEW WESTMINSTBC,2.50
6,23,AUG 27,KFC/TB SURREY CENTRE SURREY BC,7.65
7,27,AUG 28,UNDER ARMOUR VANCOUVER RICHMOND BC,78.39
8,30,AUG 28,INDIAN WOK RESTAURANT BURNABY BC,17.76
9,34,AUG 28,PAYMENT - THANK YOU / PAIEMENT - MERCI,-1105.03
10,38,AUG 29,SUSHI OYAMA BURNABY BC,13.76
11,42,AUG 29,MCDONALD'S #40094 NEW WESTMINSTBC,1.41
12,45,AUG 29,MCDONALD'S #40094 NEW WESTMINSTBC,2.91
13,48,AUG 29,A&W #0396 NEW WESTMINSTBC,4.20
14,50,AUG 30,DAIRY QUEEN #26966 NEW WESTMINSTBC,4.19
15,52,AUG 30,FRESH SLICE PIZZA NEW WESTMINSTBC,4.00
0,0,SEP 01,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,20.13
1,2,SEP 01,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,0.90
